Model, Tool, Runs, Cores, Constraints, Products, CoreFeatures, Time_median(s), Time_mean(s), Time_stdev(s), Memory(MB)
Ghamizi2019, bdd, 30, 1, 110, 5.06e162, 46, 1.6311499999999999, 1.6356866666666667, 0.02134917802396267, 0.9002505
MTGCard2020, bdd, 30, 1, 18, 6.89e214, 29, 6.7423, 6.778186666666667, 0.10099352568301134, 4.185011
GPL, bdd, 30, 1, 32, 107094, 5, 0.0354, 0.036879999999999996, 0.004636244020830834, 2.711527
JHipster, bdd, 30, 1, 13, 26256, 7, 0.0159, 0.016206666666666668, 0.0013945542690033264, 2.4799905
Horcas2022b, bdd, 30, 1, 19, 37706, 4, 0.024149999999999998, 0.024156666666666667, 0.0008381767295058107, 2.9802075
BerkeleyDB, bdd, 30, 1, 20, 4.08e9, 5, 0.021249999999999998, 0.021136666666666668, 0.0008620278151098074, 2.9117035
Oh2019, bdd, 30, 1, 29, 3840, 3, 0.01325, 0.01342, 0.0012526936494252476, 3.0336765
axTLS, bdd, 30, 1, 14, 8.26e11, 24, 0.0197, 0.020166666666666666, 0.0015427993664302146, 3.4022405
GPL_excerpt, bdd, 30, 1, 2, 36, 3, 0.0154, 0.01479, 0.0013512063575522634, 0.090042
TankWar, bdd, 30, 1, 0, 1741824, 7, 0.016050000000000002, 0.01597, 0.0008606933852704318, 0.2785125
MobileMedia, bdd, 30, 1, 3, 2128896, 10, 0.0165, 0.016493333333333332, 0.0009836362284325732, 0.3401645
WeaFQAs, bdd, 30, 1, 7, 2.93e24, 3, 0.042800000000000005, 0.04290666666666667, 0.0013248118495777458, 0.988834
Pizzas_complex, bdd, 30, 1, 2, 25, 4, 0.016, 0.016726666666666667, 0.002978188911973567, 1.0110085
Akesson2019b, bdd, 30, 1, 14, 4.30e8, 7, 0.02135, 0.022063333333333334, 0.003000285427034928, 0.6845225
Truck, bdd, 30, 1, 10, 234, 8, 0.0166, 0.016893333333333333, 0.0023071004840877997, 0.8174335
