Run, Time(s)
1, 0.2004
2, 0.1711
3, 0.171
4, 0.1589
5, 0.1628
6, 0.1752
7, 0.1752
8, 0.1808
9, 0.1712
10, 0.1789
11, 0.1694
12, 0.1736
13, 0.1697
14, 0.1663
15, 0.1725
16, 0.1727
17, 0.1686
18, 0.1753
19, 0.1747
20, 0.1653
21, 0.1716
22, 0.17
23, 0.169
24, 0.1765
25, 0.1714
26, 0.1744
27, 0.171
28, 0.1678
29, 0.1699
30, 0.1768
31, 0.1752
32, 0.1639
33, 0.171
34, 0.1745
35, 0.1757
36, 0.1727
37, 0.1682
38, 0.1711
39, 0.171
40, 0.1863
41, 0.1673
42, 0.1734
43, 0.1708
44, 0.1721
45, 0.1741
46, 0.1769
47, 0.3709
48, 0.3555
49, 0.3538
50, 0.3634
51, 0.3642
52, 0.3695
53, 0.1693
54, 0.1672
55, 0.1712
56, 0.1747
57, 0.1757
58, 0.1692
59, 0.1701
60, 0.1638
61, 0.1656
62, 0.1659
63, 0.1727
64, 0.1756
65, 0.1818
66, 0.1717
67, 0.1719
68, 0.1712
69, 0.1955
70, 0.1752
71, 0.1724
72, 0.1764
73, 0.1769
74, 0.1715
75, 0.1655
76, 0.1743
77, 0.169
78, 0.1986
79, 0.1843
80, 0.1775
81, 0.1731
82, 0.1979
83, 0.182
84, 0.2044
85, 0.1727
86, 0.17
87, 0.1729
88, 0.1636
89, 0.1718
90, 0.1721
91, 0.1724
92, 0.1747
93, 0.179
94, 0.1743
95, 0.1789
96, 0.1765
97, 0.1688
98, 0.1758
99, 0.1723
100, 0.1716
